"Ziekenhuisopnamen; diagnose-indeling VTV, regio"
""
""
"Onderwerp";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners";"Opnamen per 10 000 inwoners"
"GGD Twente (GG)";"9,1";"9,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,2";"0,4";"0,3";"0,0";"0,0";"2,5";"2,5";"6,0";"5,9";"36,0";"36,3";"1,0";"0,9";"20,8";"20,8";"37,8";"36,3";"10,7";"10,5";"51,7";"49,9";"30,2";"29,1";"42,9";"43,5";"13,1";"12,7";"4,9";"4,8";"1,4";"1,4";"3,0";"3,0";"24,7";"24,6";"90,6";"89,2";"90,6";"89,2"
"GGD Noord- en Oost-Gelderland (GG)";"9,1";"8,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,2";"0,4";"0,4";"0,0";"0,0";"2,1";"2,0";"4,7";"4,5";"42,1";"41,3";"0,8";"0,7";"27,0";"25,8";"22,3";"20,3";"10,9";"10,4";"58,8";"51,8";"36,2";"31,9";"34,3";"36,2";"8,7";"7,8";"4,7";"4,3";"1,1";"1,1";"3,0";"2,7";"22,8";"21,6";"88,4";"82,3";"88,4";"82,3"
"Veiligh. en Gez. Gelderland-Midden (GG)";"8,2";"8,2";"0,2";"0,2";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"2,3";"2,3";"6,7";"6,7";"35,1";"35,3";"0,7";"0,7";"21,7";"21,9";"8,6";"8,6";"5,1";"5,1";"48,3";"48,9";"30,9";"31,3";"48,7";"49,2";"9,2";"9,3";"5,1";"5,2";"1,1";"1,1";"3,0";"3,0";"24,1";"24,4";"75,2";"75,7";"75,2";"75,7"
"GGD Gelderland-Zuid (GG)";"9,1";"9,2";"0,2";"0,2";"0,0";"0,0";"0,0";"0,0";"0,2";"0,1";"0,2";"0,2";"0,0";"0,0";"1,9";"1,9";"4,8";"4,8";"31,5";"31,6";"0,8";"0,8";"18,2";"18,2";"16,4";"16,5";"7,4";"7,4";"56,6";"56,9";"37,9";"38,1";"59,7";"59,6";"9,0";"9,1";"5,6";"5,6";"1,1";"1,1";"4,0";"4,0";"24,3";"24,5";"101,5";"101,7";"101,5";"101,7"
"GGD Flevoland (GG)";"6,3";"6,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"2,3";"2,4";"6,3";"7,0";"32,6";"32,9";"0,6";"0,7";"17,5";"18,0";"22,3";"26,2";"9,1";"9,6";"56,9";"66,3";"33,1";"38,2";"46,2";"45,9";"8,5";"10,0";"5,0";"5,3";"1,4";"1,4";"2,9";"3,1";"23,4";"25,5";"70,5";"78,1";"70,5";"78,1"
"GGD Regio Utrecht (GG)";"5,7";"5,8";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,2";"0,2";"0,0";"0,0";"1,8";"1,9";"4,5";"4,8";"33,7";"34,2";"0,9";"1,0";"20,0";"20,5";"29,3";"31,8";"9,4";"9,7";"45,3";"50,0";"30,2";"33,4";"50,7";"50,8";"10,0";"10,9";"4,4";"4,8";"1,0";"1,1";"2,7";"3,0";"19,9";"20,9";"76,7";"81,0";"76,7";"81,0"
"GGD Hollands-Noorden (GG)";"6,3";"6,1";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"2,6";"2,5";"5,8";"5,5";"29,0";"28,7";"1,1";"0,9";"14,3";"13,9";"41,0";"36,9";"9,5";"9,1";"54,3";"49,0";"31,7";"28,5";"43,4";"44,4";"10,8";"9,9";"4,3";"4,0";"1,2";"1,1";"2,6";"2,4";"24,3";"23,2";"81,9";"77,4";"81,9";"77,4"
"GGD Kennemerland (GG)";"5,5";"5,5";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"2,2";"2,2";"4,4";"4,4";"29,5";"29,3";"0,8";"0,8";"15,0";"15,0";"14,3";"14,2";"8,4";"8,3";"56,6";"56,9";"31,5";"31,8";"58,0";"58,7";"12,9";"12,9";"4,7";"4,7";"0,9";"0,9";"3,3";"3,3";"23,6";"23,5";"88,2";"88,1";"88,2";"88,1"
"GGD Amsterdam (GG)";"5,1";"5,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,1";"0,1";"0,1";"0,1";"0,0";"0,0";"1,5";"1,7";"4,7";"5,6";"25,1";"26,0";"0,9";"1,2";"12,2";"13,2";"17,1";"21,9";"7,1";"8,2";"35,4";"47,2";"21,1";"28,3";"32,6";"31,6";"5,9";"7,7";"4,1";"5,0";"1,1";"1,3";"2,6";"3,3";"15,6";"18,4";"71,1";"87,8";"71,1";"87,8"
"GGD Gooi en Vechtstreek (GG)";"6,0";"5,8";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2";"0,2";"0,3";"0,3";"0,0";"0,0";"1,3";"1,2";"4,4";"4,4";"37,3";"37,4";"1,6";"1,5";"19,9";"19,6";"17,7";"17,0";"10,7";"10,4";"54,7";"52,1";"35,8";"34,3";"25,5";"26,5";"7,5";"7,1";"4,1";"4,0";"1,3";"1,3";"2,1";"2,1";"22,1";"21,0";"61,5";"59,1";"61,5";"59,1"
