brongemeente;SLA-sector;concentratie (µg/m³);relatieve bijdrage (%);doelgemeente;scenario;stof;datum export;applicatie versie;data versie
Helmond;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Laren;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Berg en Dal;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilvarenbeek;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Almere;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Papendrecht;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hulst;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Weststellingwerf;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Edam-Volendam;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Súdwest-Fryslân;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lelystad;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zeewolde;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kapelle;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Molenlanden;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bunnik;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Etten-Leur;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Groningen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Druten;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Purmerend;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Culemborg;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uithoorn;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Meierijstad;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Putten;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Scherpenzeel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wijdemeren;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Koggenland;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hollands Kroon;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Steenbergen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gooise Meren;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Emmen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
IJsselstein;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Wolden;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hollands Kroon;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Terneuzen;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoogeveen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Midden-Delfland;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drimmelen;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dronten;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Doetinchem;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drimmelen;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hendrik-Ido-Ambacht;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tiel;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Helder;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijmegen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Laarbeek;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lopik;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Molenlanden;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zandvoort;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wormerland;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Blaricum;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amersfoort;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goeree-Overflakkee;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heusden;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Midden-Drenthe;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zandvoort;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wassenaar;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Sliedrecht;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Houten;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nissewaard;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Groningen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nederlandse bijdragen buiten een gemeente;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Epe;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Montfoort;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Katwijk;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Texel;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Teylingen;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Neder-Betuwe;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Medemblik;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Opsterland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorst;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Laren;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rheden;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bodegraven-Reeuwijk;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zwijndrecht;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alblasserdam;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gorinchem;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Putten;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlemmermeer;Scheepvaart & visserij;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoorn;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wijdemeren;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zevenaar;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kampen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gooise Meren;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen-Chaam;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hardenberg;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Peel en Maas;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Apeldoorn;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westland;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Venray;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorne aan Zee;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uithoorn;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen-Chaam;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vlissingen;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Houten;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kampen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rijssen-Holten;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Coevorden;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Purmerend;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oirschot;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Brummen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alkmaar;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schouwen-Duiveland;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dalfsen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oude IJsselstreek;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoorn;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ridderkerk;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zwartewaterland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Sittard-Geleen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zundert;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorschoten;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gemert-Bakel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beuningen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Maas en Waal;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Horst aan de Maas;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gouda;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noardeast-Fryslân;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Emmen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Soest;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drimmelen;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rijssen-Holten;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Roosendaal;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Eemnes;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Maas en Waal;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilversum;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Borsele;Scheepvaart & visserij;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Enkhuizen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hengelo;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zwijndrecht;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maassluis;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wijchen;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Midden-Groningen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bergen op Zoom;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Wolden;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Berg en Dal;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drechterland;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lelystad;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Soest;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rheden;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bergen op Zoom;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaltbommel;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ede;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Eindhoven;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Fryske Marren;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorne aan Zee;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Blaricum;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alblasserdam;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hof van Twente;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barendrecht;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Staphorst;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiden;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wierden;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Het Hogeland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
IJsselstein;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leudal;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Súdwest-Fryslân;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barendrecht;Luchtvaart & rail;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Geertruidenberg;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaltbommel;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goirle;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Overbetuwe;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Deurne;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Montferland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dronten;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bladel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Woerden;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waterland;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hardinxveld-Giessendam;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Meierijstad;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Land van Cuijk;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hollands Kroon;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westerveld;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zutphen;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drimmelen;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hengelo;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ouder-Amstel;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goeree-Overflakkee;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bladel;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Deventer;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lopik;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Weert;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oirschot;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westerwolde;Industrie & energie;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Harderwijk;Landbouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Krimpen aan den IJssel;HDO & Bouw;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lansingerland;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noord-Beveland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Smallingerland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordoostpolder;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Venlo;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dinkelland;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tytsjerksteradiel;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Mobiele werktuigen;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Helmond;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Venray;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schagen;Wegverkeer;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hengelo;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vlaardingen;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaltbommel;Consumenten;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ooststellingwerf;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordoostpolder;Binnenvaart & recreatievaart;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Urk;Consumenten sfeerverwarming;0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beverwijk;Mobiele werktuigen bouw (SEB);0;0,01;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
